"","species","us_rank_review_yr","natserve_yr_last_reviewed","natserve_yr_lst_changed"
"224","Thalasseus sandvicensis","1997","1996","1996"
"225","Tringa semipalmata","1997","2016","1996"
"226","Tringa melanoleuca","1997","2016","1996"
"227","Sturnus vulgaris","1997","2016","1996"
"228","Morus bassanus","1997","2016","1996"
"229","Hydroprogne caspia","1997","2016","1996"
"230","Podiceps grisegena","1997","2016","1996"
"231","Puffinus lherminieri","2003","2014","1996"
"232","Puffinus puffinus","1997","2016","1996"
"233","Rissa tridactyla","1997","2016","1996"
"234","Thalasseus maximus","1997","2016","1996"
"235","Uria aalge","1997","2016","1996"
"236","Uria lomvia","1997","2016","1996"
"237","Cistothorus palustris","1997","2016","1996"
"238","Geothlypis trichas","1997","2016","1996"
"239","Egretta tricolor","1997","2016","1996"
"240","Aythya valisineria","1997","2016","1996"
"241","Melospiza melodia","1997","2016","1996"
"242","Haliaeetus leucocephalus","1997","2016","2005"
"243","Branta bernicla","1997","2016","1996"
"244","Calidris alpina","1997","2016","1996"
"245","Calidris fuscicollis","1997","2016","1996"
"246","Larus hyperboreus","1997","2016","1996"
"247","Calidris minutilla","1997","2016","1996"
"248","Melanitta americana","1997","2016","1996"
"249","Calidris pusilla","1997","2016","1996"
"250","Calidris ruficollis","1997","2016","2016"
"251","Ardea herodias","1997","2016","1996"
"252","Bucephala clangula","1997","2016","1996"
"253","Ardea alba","1997","2016","1996"
"254","Actitis macularius","1997","2016","1996"
"255","Anas acuta","1997","2016","1996"
"256","Anas rubripes","1997","2016","1996"
"257","Anser caerulescens","1997","2016","1996"
"258","Arenaria interpres","1997","2016","1996"
"259","Aythya affinis","1997","2016","1996"
"260","Aythya americana","1997","2016","1996"
"261","Aythya fuligula","1997","2016","1996"
"262","Aythya marila","1997","2016","1996"
"263","Bucephala albeola","1997","2016","1996"
"264","Calidris alba","1997","2016","1996"
"265","Calidris canutus","1997","2016","2005"
"266","Calidris maritima","1997","2016","1996"
"267","Calidris melanotos","1997","2016","1996"
"268","Camptorhynchus labradorius","1997","2016","1996"
"269","Cepphus grylle","1997","2016","1996"
"270","Phaethon lepturus","1997","1996","1996"
"271","Anthus rubescens","1997","2016","1996"
"272","Calcarius lapponicus","1997","2016","1996"
"273","Onychoprion fuscatus",NA,"1996","1996"
"274","Alca torda","1997","2016","1996"
"275","Alle alle","1998","2016","1996"
"276","Ardenna gravis","2003","2016","2014"
"277","Catharacta skua","1997","1996","1996"
"278","Fratercula arctica","1998","2016","1996"
"279","Fulmarus glacialis","1997","2016","1996"
"280","Ardenna grisea","2003","2016","1996"
"281","Egretta caerulea","1997","2016","1996"
"282","Sterna dougallii","1998","2016","1997"
"283","Xema sabini","1997","2016","1996"
"284","Eremophila alpestris","1997","2016","1996"
"285","Hippoglossoides platessoides",NA,NA,NA
"286","Gadus morhua",NA,"2003","1997"
"287","Hippoglossus hippoglossus",NA,"2017","2017"
"288","Torpedo nobiliana",NA,"2017","2017"
"289","Anarhichas lupus",NA,NA,"2012"
"290","Oceanodroma castro","2003","2014","2008"
"291","Pterodroma hasitata","2003","2014","2000"
"292","Dasyatis say","1996","2001","2001"
"293","Chroicocephalus philadelphia","1997","2016","1996"
"294","Pelecanus occidentalis","1997","2016","1996"
"295","Peprilus triacanthus",NA,"2017","2017"
"296","Brosme brosme",NA,NA,NA
"297","Lophius americanus","1996","1997","1997"
"298","Stercorarius skua","1997","1996","1996"
"299","Citharichthys arctifrons",NA,"2017","2017"
"300","Melanogrammus aeglefinus",NA,"2017","2017"
"301","Podiceps auritus","1997","2016","1996"
"302","Limulus polyphemus","2006","2006","2006"
"303","Cancer borealis",NA,"2016","2016"
"304","Leucophaeus atricilla","1997","2016","1996"
"305","Oceanodroma leucorhoa","1997","2016","1996"
"306","Myoxocephalus octodecemspinosus","1996","2017","1996"
"307","Syngnathus fuscus",NA,"2017","1996"
"308","Ammodytes dubius",NA,"2015","2015"
"309","Prionotus carolinus","1996","1996","1996"
"310","Zoarces americanus",NA,"2017","2017"
"311","Stercorarius parasiticus","1997","2016","1996"
"312","Pollachius virens",NA,"2017","2017"
"313","Urophycis chuss",NA,"2017","2017"
"314","Phalaropus lobatus","2001","2016","2001"
"315","Phalaropus fulicarius","1997","2016","1996"
"316","Dasyatis centroura",NA,NA,NA
"317","Hemitripterus americanus",NA,"2017","2017"
"318","Stercorarius maccormicki","1997","2016","1997"
"319","Dasyatis americana","1996","2001","2001"
"320","Prionotus evolans","1996","1996","1996"
"321","Paralichthys dentatus",NA,NA,NA
"322","Cynoscion regalis",NA,NA,NA
"323","Urophycis tenuis",NA,NA,NA
"324","Melanitta fusca","1997","2016","1996"
"325","Scophthalmus aquosus","1996","2017","1996"
"326","Pseudopleuronectes americanus","1996","2017","1997"
"327","Glyptocephalus cynoglossus",NA,NA,NA
