"","rgn_id","area_km2","SID"
"435",9,180,155259
"436",10,4395,155259
"437",11,1119,155259
"438",1,52300,155265
"439",2,2291,155265
"440",4,4012,155265
"441",1,52728,155276
"442",2,11132,155276
"443",4,42218,155276
"444",5,1453,155276
"445",7,1,155276
"446",8,2665,155276
"447",10,4395,155276
"448",11,1119,155276
"449",1,105282,15598524
"450",2,48457,15598524
"451",3,4109,15598524
"452",4,41768,15598524
"453",5,142,15598524
"454",7,167,15598524
"455",8,2640,15598524
"456",10,2722,15598524
"457",11,926,15598524
"458",1,105282,15598550
"459",2,49938,15598550
"460",3,54532,15598550
"461",4,42218,15598550
"462",5,1453,15598550
"463",6,1759,15598550
"464",7,3398,15598550
"465",8,2675,15598550
"466",9,180,15598550
"467",10,4395,15598550
"468",11,1119,15598550
"469",1,105282,15598596
"470",2,49938,15598596
"471",3,46544,15598596
"472",4,42218,15598596
"473",5,1453,15598596
"474",6,314,15598596
"475",7,3398,15598596
"476",8,2675,15598596
"477",9,180,15598596
"478",10,4395,15598596
"479",11,1119,15598596
"480",1,105282,15598621
"481",2,49938,15598621
"482",3,59638,15598621
"483",4,42218,15598621
"484",5,1453,15598621
"485",6,6675,15598621
"486",7,3398,15598621
"487",8,2675,15598621
"488",9,180,15598621
"489",10,4395,15598621
"490",11,1119,15598621
"491",1,105282,15598630
"492",2,49938,15598630
"493",3,26484,15598630
"494",4,42218,15598630
"495",5,1453,15598630
"496",7,2519,15598630
"497",8,2675,15598630
"498",10,4395,15598630
"499",11,1119,15598630
"500",1,105282,15598639
"501",2,49938,15598639
"502",3,42667,15598639
"503",4,42218,15598639
"504",5,1453,15598639
"505",7,3194,15598639
"506",8,2675,15598639
"507",10,4395,15598639
"508",11,1119,15598639
"509",1,86648,15598666
"510",2,3126,15598666
"511",4,33580,15598666
"512",10,310,15598666
"513",1,105282,15598672
"514",2,49938,15598672
"515",3,27341,15598672
"516",4,42218,15598672
"517",5,1453,15598672
"518",7,1993,15598672
"519",8,2675,15598672
"520",10,4395,15598672
"521",11,1119,15598672
"522",1,105282,15598778
"523",2,49938,15598778
"524",3,22097,15598778
"525",4,42218,15598778
"526",5,1435,15598778
"527",7,2358,15598778
"528",8,2675,15598778
"529",10,4305,15598778
"530",11,1119,15598778
"531",1,105282,15598791
"532",2,49938,15598791
"533",3,26632,15598791
"534",4,42200,15598791
"535",5,1355,15598791
"536",7,2197,15598791
"537",8,2675,15598791
"538",10,4099,15598791
"539",11,1119,15598791
"540",1,100814,15598799
"541",2,32967,15598799
"542",3,2187,15598799
"543",4,42210,15598799
"544",5,933,15598799
"545",7,999,15598799
"546",8,2675,15598799
"547",10,4007,15598799
"548",11,1119,15598799
"549",1,31859,15598809
"550",2,33112,15598809
"551",3,4049,15598809
"552",4,42163,15598809
"553",5,338,15598809
"554",7,696,15598809
"555",8,2667,15598809
"556",10,3557,15598809
"557",11,1013,15598809
"558",1,105282,15598812
"559",2,38573,15598812
"560",3,38,15598812
