"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1722",NA,"Spatula discors","IUCN",22680229,"IUCN","LC - Least concern",NA,"IUCN"
"1723",NA,"Spatula discors","IUCN",22680229,"USA","N5B,N5N",NA,"USA"
"1724",NA,"Thalasseus sandvicensis","IUCN",22694591,"MA","S1N",NA,"MA"
"1725",NA,"Thalasseus sandvicensis","IUCN",22694591,"IUCN","LC - Least concern",NA,"IUCN"
"1726",NA,"Thalasseus sandvicensis","IUCN",22694591,"USA","N4B,N4N",NA,"USA"
"1727",NA,"Tringa semipalmata","IUCN",22693319,"CT","S4B",NA,"CT"
"1728",NA,"Tringa semipalmata","IUCN",22693319,"ME","S3B",NA,"ME"
"1729",NA,"Tringa semipalmata","IUCN",22693319,"MA","S3B,S3N",NA,"MA"
"1730",NA,"Tringa semipalmata","IUCN",22693319,"NH","S3B",NA,"NH"
"1731",NA,"Tringa semipalmata","IUCN",22693319,"NY","S3B",NA,"NY"
"1732",NA,"Tringa semipalmata","IUCN",22693319,"RI","S1B,S3N",NA,"RI"
"1733",NA,"Tringa semipalmata","IUCN",22693319,"IUCN","LC - Least concern",NA,"IUCN"
"1734",NA,"Tringa semipalmata","IUCN",22693319,"USA","N5B,N5N",NA,"USA"
"1735",NA,"Tringa melanoleuca","IUCN",22693231,"CT","N5B,N5N",NA,"CT"
"1736",NA,"Tringa melanoleuca","IUCN",22693231,"ME","S4N",NA,"ME"
"1737",NA,"Tringa melanoleuca","IUCN",22693231,"MA","S4N",NA,"MA"
"1738",NA,"Tringa melanoleuca","IUCN",22693231,"NH","N5B,N5N",NA,"NH"
"1739",NA,"Tringa melanoleuca","IUCN",22693231,"NY","N5B,N5N",NA,"NY"
"1740",NA,"Tringa melanoleuca","IUCN",22693231,"RI","N5B,N5N",NA,"RI"
"1741",NA,"Tringa melanoleuca","IUCN",22693231,"IUCN","LC - Least concern",NA,"IUCN"
"1742",NA,"Tringa melanoleuca","IUCN",22693231,"USA","N5B,N5N",NA,"USA"
"1743",NA,"Sturnus vulgaris","IUCN",22710886,"CT","NNA",NA,"CT"
"1744",NA,"Sturnus vulgaris","IUCN",22710886,"ME","NNA",NA,"ME"
"1745",NA,"Sturnus vulgaris","IUCN",22710886,"MA","NNA",NA,"MA"
"1746",NA,"Sturnus vulgaris","IUCN",22710886,"NH","NNA",NA,"NH"
"1747",NA,"Sturnus vulgaris","IUCN",22710886,"NY","NNA",NA,"NY"
