"","SID","rgn_id","rgn_name"
"635",15599123,7,"Massachusetts-Gulf of Maine"
"636",15599123,1,"Offshore"
"637",15599123,8,"Massachusetts-Virginian"
"638",15599123,11,"Rhode Island"
"639",15599123,4,"Mid-Atlantic Bight"
"640",15599123,5,"Connecticut"
"641",15599123,10,"New York"
"642",15599136,6,"Maine"
"643",15599136,3,"Gulf of Maine"
"644",15599136,9,"New Hampshire"
"645",15599136,2,"Georges Bank"
"646",15599136,7,"Massachusetts-Gulf of Maine"
"647",15599136,1,"Offshore"
"648",15599136,8,"Massachusetts-Virginian"
"649",15599136,11,"Rhode Island"
"650",15599136,4,"Mid-Atlantic Bight"
"651",15599136,5,"Connecticut"
"652",15599136,10,"New York"
"653",15599150,6,"Maine"
"654",15599150,3,"Gulf of Maine"
"655",15599150,9,"New Hampshire"
"656",15599150,2,"Georges Bank"
"657",15599150,7,"Massachusetts-Gulf of Maine"
"658",15599150,1,"Offshore"
"659",15599150,8,"Massachusetts-Virginian"
"660",15599150,11,"Rhode Island"
"661",15599150,4,"Mid-Atlantic Bight"
"662",15599150,5,"Connecticut"
"663",15599150,10,"New York"
"664",15600450,6,"Maine"
"665",15600450,3,"Gulf of Maine"
"666",15600450,9,"New Hampshire"
"667",15600450,2,"Georges Bank"
"668",15600450,7,"Massachusetts-Gulf of Maine"
"669",15600450,1,"Offshore"
"670",15600450,8,"Massachusetts-Virginian"
"671",15600450,11,"Rhode Island"
"672",15600450,4,"Mid-Atlantic Bight"
"673",15600450,5,"Connecticut"
"674",15600450,10,"New York"
"675",15600453,6,"Maine"
"676",15600453,3,"Gulf of Maine"
"677",15600453,9,"New Hampshire"
"678",15600453,2,"Georges Bank"
"679",15600453,7,"Massachusetts-Gulf of Maine"
"680",15600453,1,"Offshore"
"681",15600453,8,"Massachusetts-Virginian"
"682",15600453,11,"Rhode Island"
"683",15600453,4,"Mid-Atlantic Bight"
"684",15600453,5,"Connecticut"
"685",15600453,10,"New York"
"686",15600713,6,"Maine"
"687",15600713,3,"Gulf of Maine"
"688",15600713,9,"New Hampshire"
"689",15600713,2,"Georges Bank"
"690",15600713,7,"Massachusetts-Gulf of Maine"
"691",15600713,1,"Offshore"
"692",15600713,8,"Massachusetts-Virginian"
"693",15600713,11,"Rhode Island"
"694",15600713,4,"Mid-Atlantic Bight"
"695",15600713,5,"Connecticut"
"696",15600713,10,"New York"
"697",15600727,3,"Gulf of Maine"
"698",15600727,2,"Georges Bank"
"699",15600727,1,"Offshore"
"700",15600727,7,"Massachusetts-Gulf of Maine"
"701",15600727,8,"Massachusetts-Virginian"
"702",15600727,4,"Mid-Atlantic Bight"
"703",15600731,6,"Maine"
"704",15600731,3,"Gulf of Maine"
"705",15600731,9,"New Hampshire"
"706",15600731,2,"Georges Bank"
"707",15600731,7,"Massachusetts-Gulf of Maine"
"708",15600731,1,"Offshore"
"709",15600731,8,"Massachusetts-Virginian"
"710",15600731,11,"Rhode Island"
"711",15600731,4,"Mid-Atlantic Bight"
"712",15600731,5,"Connecticut"
"713",15600731,10,"New York"
"714",15600738,3,"Gulf of Maine"
"715",15600738,2,"Georges Bank"
"716",15600738,1,"Offshore"
"717",15600738,7,"Massachusetts-Gulf of Maine"
"718",15600738,8,"Massachusetts-Virginian"
"719",15600738,4,"Mid-Atlantic Bight"
"720",15600738,11,"Rhode Island"
"721",15601865,3,"Gulf of Maine"
"722",15601865,6,"Maine"
"723",15601865,9,"New Hampshire"
"724",15601865,2,"Georges Bank"
"725",15601865,7,"Massachusetts-Gulf of Maine"
"726",15601865,1,"Offshore"
"727",15601865,8,"Massachusetts-Virginian"
"728",15601865,11,"Rhode Island"
"729",15601865,4,"Mid-Atlantic Bight"
"730",15601865,5,"Connecticut"
"731",15601865,10,"New York"
