iucn_sid,common,sciname,population,category,neportal,neportal_name
15598809,Slopewater lanternfish,Diaphus taaningi,NA,DD,0,
15598812,Taaning's lantern fish,Diaphus termophilus,NA,LC,0,
15598815,Large-finned lanternfish,Hygophum macrochir,NA,LC,0,
15598887,Reinhardt's lantern fish,Hygophum reinhardtii,NA,LC,0,
15598938,Tåning’s lanternfish,Hygophum taaningi,NA,LC,0,
15598948,Anomalous lanternfish,Lampadena anomala,NA,DD,0,
15598951,Chaves' lanternfish,Lampadena chavesi,NA,LC,0,
15598957,Luminous lanternfish,Lampadena luminosa,NA,LC,0,
15599060,Winged lanternfish,Lampanyctus alatus,NA,LC,0,
15599067,Festive lanternfish,Lampanyctus festivus,NA,LC,0,
15599070,Diamondcheek lanternfish,Lampanyctus intricarius,NA,LC,0,
15599123,NA,Lepidophanes gaussi,NA,LC,0,
15599136,Günther’s lanternfish,Lepidophanes guentheri,NA,LC,0,
15599150,Metallic lantern fish,Myctophum affine,NA,LC,0,
15600450,Prickly lanternfish,Myctophum asperum,NA,LC,0,
15600453,Pearly lanternfish,Myctophum nitidulum,NA,LC,0,
15600713,Bluntsnout lanternfish,Myctophum obtusirostre,NA,LC,0,
15600727,Wisner's lantern fish,Myctophum selenops,NA,LC,0,
15600731,Dusky lanternfish,Nannobrachium atrum,NA,LC,0,
15600738,NA,Nannobrachium cuprarium,NA,LC,0,
15601865,Lobisomem,Notoscopelus caudispinosus,NA,LC,0,
15601872,Patchwork lampfish,Notoscopelus resplendens,NA,LC,0,
15601902,Waistcoat lanternfish,Taaningichthys minimus,NA,LC,0,
15601962,Bigeye,Epigonus pandionis,NA,LC,0,
16406327,Broad-striped anchovy,Anchoa hepsetus,NA,LC,0,
16407002,Yellowfin bass,Anthias nicholsi,NA,LC,0,
16407132,Deepbody boarfish,Antigonia capros,NA,LC,0,
16407217,Striated argentine,Argentina striata,NA,LC,0,
16407630,Silver-rag driftfish,Ariomma bondi,NA,LC,0,
16425314,Goby flathead,Bembrops gobioides,NA,LC,0,
16425354,Splendid alfonsino,Beryx splendens,NA,LC,0,
16431725,NA,Caranx bartholomaei,NA,LC,0,
16431737,Bar jack,Caranx ruber,NA,LC,0,
16435325,Black seabass,Centropristis striata,NA,LC,1,
16435530,Atlantic spadefish,Chaetodipterus faber,NA,LC,0,
16437187,Atlantic bumper,Chloroscombrus chrysurus,NA,LC,0,
16439367,Bigeye cigarfish,Cubiceps pauciradiatus,NA,LC,0,
16439848,Round scad,Decapterus punctatus,NA,LC,0,
16440016,Silver anchovy,Engraulis eurystole,NA,LC,0,
16440027,Rainbow runner,Elagatis bipinnulata,NA,LC,0,
16440083,Whitefin sharksucker,Echeneis neucratoides,NA,DD,0,
16441575,Atlantic silverside,Menidia menidia,NA,LC,0,
16441698,Inshore lizardfish,Synodus foetens,NA,LC,0,
16441738,Oyster toadfish,Opsanus tau,NA,LC,0,
16443217,Bigeye soldierfish,Ostichthys trachypoma,NA,LC,0,
16449531,Darwin's slimehead,Gephyroberyx darwinii,NA,LC,0,
16466100,Atlantic thread herring,Opisthonema oglinum,NA,LC,0,
16466377,Offshore silver hake,Merluccius albidus,NA,LC,0,
16466393,Silver hake,Merluccius bilinearis,NA,NT,1,
16467178,Singlespot frogfish,Fowlerichthys radiosus,NA,LC,0,
16501868,Shortbeard cusk-eel,Lepophidium brevibarbe,NA,LC,0,
