"","state","status","species"
"371","NH","N5B,N5N","Rissa tridactyla"
"372","NY","N5B,N5N","Rissa tridactyla"
"373","RI","N5B,N5N","Rissa tridactyla"
"374","IUCN","LC - Least concern","Rissa tridactyla"
"375","USA","N5B,N5N","Rissa tridactyla"
"376","ME","S3S4N","Puffinus puffinus"
"377","MA","SXB,S3S4N","Puffinus puffinus"
"378","NH","N1B","Puffinus puffinus"
"379","RI","N1B","Puffinus puffinus"
"380","IUCN","LC - Least concern","Puffinus puffinus"
"381","USA","N1B","Puffinus puffinus"
"382","IUCN","LC - Least concern","Puffinus lherminieri"
"383","USA","N5N","Puffinus lherminieri"
"384","CT","N5B,N5N","Podiceps grisegena"
"385","ME","S3S4N","Podiceps grisegena"
"386","MA","S4N","Podiceps grisegena"
"387","NH","N5B,N5N","Podiceps grisegena"
"388","NY","N5B,N5N","Podiceps grisegena"
"389","RI","N5B,N5N","Podiceps grisegena"
"390","IUCN","LC - Least concern","Podiceps grisegena"
"391","USA","N5B,N5N","Podiceps grisegena"
"392","CT","N4N5B,N4N","Hydroprogne caspia"
"393","MA","S2N","Hydroprogne caspia"
"394","NY","S1","Hydroprogne caspia"
"395","RI","S1N","Hydroprogne caspia"
"396","IUCN","LC - Least concern","Hydroprogne caspia"
"397","USA","N4N5B,N4N","Hydroprogne caspia"
"398","ME","S4S5N","Morus bassanus"
"399","MA","S5N","Morus bassanus"
"400","NH","NNA","Morus bassanus"
"401","NY","NNA","Morus bassanus"
"402","RI","NNA","Morus bassanus"
"403","IUCN","LC - Least concern","Morus bassanus"
"404","USA","NNA","Morus bassanus"
"405","CT","NNA","Sturnus vulgaris"
"406","ME","NNA","Sturnus vulgaris"
"407","MA","NNA","Sturnus vulgaris"
"408","NH","NNA","Sturnus vulgaris"
"409","NY","NNA","Sturnus vulgaris"
"410","RI","NNA","Sturnus vulgaris"
"411","IUCN","LC - Least concern","Sturnus vulgaris"
"412","USA","NNA","Sturnus vulgaris"
"413","CT","N5B,N5N","Tringa melanoleuca"
"414","ME","S4N","Tringa melanoleuca"
"415","MA","S4N","Tringa melanoleuca"
"416","NH","N5B,N5N","Tringa melanoleuca"
"417","NY","N5B,N5N","Tringa melanoleuca"
"418","RI","N5B,N5N","Tringa melanoleuca"
"419","IUCN","LC - Least concern","Tringa melanoleuca"
"420","USA","N5B,N5N","Tringa melanoleuca"
"421","CT","S4B","Tringa semipalmata"
"422","ME","S3B","Tringa semipalmata"
"423","MA","S3B,S3N","Tringa semipalmata"
"424","NH","S3B","Tringa semipalmata"
"425","NY","S3B","Tringa semipalmata"
"426","RI","S1B,S3N","Tringa semipalmata"
"427","IUCN","LC - Least concern","Tringa semipalmata"
"428","USA","N5B,N5N","Tringa semipalmata"
"429","MA","S1N","Thalasseus sandvicensis"
"430","IUCN","LC - Least concern","Thalasseus sandvicensis"
"431","USA","N4B,N4N","Thalasseus sandvicensis"
"432","CT","S2B","Sternula antillarum"
"433","ME","S1B","Sternula antillarum"
"434","MA","S2B","Sternula antillarum"
"435","NH","SHB","Sternula antillarum"
"436","NY","S3B","Sternula antillarum"
"437","RI","S2B,S2N","Sternula antillarum"
"438","IUCN","LC - Least concern","Sternula antillarum"
"439","USA","N4B","Sternula antillarum"
"440","CT","S3B","Sterna hirundo"
"441","ME","S4B","Sterna hirundo"
"442","MA","S3B,S4N","Sterna hirundo"
"443","NH","S2B","Sterna hirundo"
"444","NY","S3B","Sterna hirundo"
"445","RI","S3B","Sterna hirundo"
"446","IUCN","LC - Least concern","Sterna hirundo"
"447","USA","N5B","Sterna hirundo"
"448","ME","S2S3N","Stercorarius pomarinus"
"449","MA","S3N","Stercorarius pomarinus"
"450","NH","N5B","Stercorarius pomarinus"
"451","NY","N5B","Stercorarius pomarinus"
"452","RI","N5B","Stercorarius pomarinus"
"453","IUCN","LC - Least concern","Stercorarius pomarinus"
"454","USA","N5B","Stercorarius pomarinus"
"455","CT","SHB","Spatula discors"
"456","ME","S4S5B","Spatula discors"
"457","MA","S2B,S5M","Spatula discors"
"458","NH","S3B","Spatula discors"
"459","NY","S2S3B,SNRN","Spatula discors"
"460","RI","S1B","Spatula discors"
"461","IUCN","LC - Least concern","Spatula discors"
"462","USA","N5B,N5N","Spatula discors"
"463","CT","N5B,N5N","Spatula clypeata"
"464","ME","S1B","Spatula clypeata"
"465","MA","S1B,S4M","Spatula clypeata"
"466","NH","N5B,N5N","Spatula clypeata"
"467","NY","S2","Spatula clypeata"
"468","RI","S2N","Spatula clypeata"
"469","IUCN","LC - Least concern","Spatula clypeata"
"470","USA","N5B,N5N","Spatula clypeata"
"471","CT","N4B,N4N","Somateria spectabilis"
"472","ME","S1S2N","Somateria spectabilis"
"473","MA","S1N","Somateria spectabilis"
"474","NY","N4B,N4N","Somateria spectabilis"
"475","IUCN","LC - Least concern","Somateria spectabilis"
"476","USA","N4B,N4N","Somateria spectabilis"
"477","ME","S5B,S5N","Somateria mollissima"
"478","MA","S2B,S5N","Somateria mollissima"
"479","NH","S5","Somateria mollissima"
"480","NY","S1B,S3?N","Somateria mollissima"
"481","RI","N5B,N5N","Somateria mollissima"
"482","IUCN","LC - Least concern","Somateria mollissima"
"483","USA","N5B,N5N","Somateria mollissima"
"484","ME","S2B","Sterna paradisaea"
"485","MA","S1B,S1S2N","Sterna paradisaea"
"486","NH","S1B","Sterna paradisaea"
"487","NY","N5B","Sterna paradisaea"
"488","IUCN","LC - Least concern","Sterna paradisaea"
