FMP,stock,location,Jurisdiction,FSSI,year,rgn_id,source,stock_location,rgn_name
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,3,NMFS,red hake Gulf of Maine / Northern Georges Bank,Gulf of Maine
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,6,NMFS,red hake Gulf of Maine / Northern Georges Bank,Maine
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,7,NMFS,red hake Gulf of Maine / Northern Georges Bank,Massachusetts-North
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,8,NMFS,red hake Gulf of Maine / Northern Georges Bank,Massachusetts-South
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,9,NMFS,red hake Gulf of Maine / Northern Georges Bank,New Hampshire
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,12,NMFS,red hake Gulf of Maine / Northern Georges Bank,Northeast
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,1,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Offshore
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,2,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Georges Bank
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,4,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Mid-Atlantic Bight
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,5,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Connecticut
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,8,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Massachusetts-South
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,10,NMFS,red hake Southern Georges Bank / Mid-Atlantic,New York
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,11,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Rhode Island
