"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"188","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,1,"Offshore",NA
"189","blueback herring","Alosa aestivalis",NA,NA,0.3,3,"Gulf of Maine",NA
"190","blueback herring","Alosa aestivalis","ME","S4",0.2,6,"Maine",NA
"191","blueback herring","Alosa aestivalis","NH","S4",0.2,9,"New Hampshire",NA
"192","blueback herring","Alosa aestivalis","MA","S3S4",0.3,7,"Massachusetts-Gulf of Maine",NA
"193","blueback herring","Alosa aestivalis",NA,NA,0.3,2,"Georges Bank",NA
"194","blueback herring","Alosa aestivalis","RI","S1",0.8,11,"Rhode Island",NA
"195","blueback herring","Alosa aestivalis","MA","S3S4",0.3,8,"Massachusetts-Virginian",NA
"196","blueback herring","Alosa aestivalis",NA,NA,0.3,4,"Mid-Atlantic Bight",NA
"197","blueback herring","Alosa aestivalis","NY","S3",0.4,10,"New York",NA
"198","blueback herring","Alosa aestivalis",NA,NA,0.3,1,"Offshore",NA
"199","bluefish","Pomatomus saltatrix",NA,NA,0,2,"Georges Bank",NA
"200","bluefish","Pomatomus saltatrix",NA,NA,0,3,"Gulf of Maine",NA
"201","bluefish","Pomatomus saltatrix",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"202","bluefish","Pomatomus saltatrix","RI","N5",0,11,"Rhode Island",NA
"203","bluefish","Pomatomus saltatrix",NA,NA,0,8,"Massachusetts-Virginian",NA
"204","bluefish","Pomatomus saltatrix",NA,NA,0,4,"Mid-Atlantic Bight",NA
"205","bluefish","Pomatomus saltatrix",NA,NA,0,1,"Offshore",NA
"206","bluefish","Pomatomus saltatrix","NY","N5",0,10,"New York",NA
"207","bonapartes gull","Chroicocephalus philadelphia",NA,NA,0,3,"Gulf of Maine",NA
"208","bonapartes gull","Chroicocephalus philadelphia",NA,NA,0,2,"Georges Bank",NA
"209","bonapartes gull","Chroicocephalus philadelphia","MA","S4N",0.2,7,"Massachusetts-Gulf of Maine",NA
"210","bonapartes gull","Chroicocephalus philadelphia","MA","S4N",0.2,8,"Massachusetts-Virginian",NA
"211","bonapartes gull","Chroicocephalus philadelphia","RI","N5B,N5N",0,11,"Rhode Island",NA
"212","bonapartes gull","Chroicocephalus philadelphia",NA,NA,0,4,"Mid-Atlantic Bight",NA
"213","bonapartes gull","Chroicocephalus philadelphia","NY","N5B,N5N",0,10,"New York",NA
"214","bonapartes gull","Chroicocephalus philadelphia",NA,NA,0,1,"Offshore",NA
"215","bottlenose dolphin","Tursiops truncatus",NA,NA,0.1,3,"Gulf of Maine",NA
