"","rgn_id","species","iucn_sid"
"186",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13486514.tif",13486514
"187",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13486514.tif",13486514
"188",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13486514.tif",13486514
"189",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"190",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"191",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"192",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"193",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"194",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_13487700.tif",13487700
"195",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"196",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"197",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"198",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"199",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"200",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"201",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"202",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"203",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"204",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"205",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_135567.tif",135567
"206",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147715.tif",15147715
"207",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147715.tif",15147715
"208",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147715.tif",15147715
"209",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147725.tif",15147725
"210",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147725.tif",15147725
"211",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147725.tif",15147725
"212",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147725.tif",15147725
"213",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147740.tif",15147740
"214",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147740.tif",15147740
"215",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147740.tif",15147740
"216",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147740.tif",15147740
"217",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147816.tif",15147816
"218",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147816.tif",15147816
"219",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147816.tif",15147816
"220",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147965.tif",15147965
"221",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147965.tif",15147965
"222",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147965.tif",15147965
"223",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147977.tif",15147977
"224",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15147977.tif",15147977
"225",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15148742.tif",15148742
"226",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15148742.tif",15148742
"227",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15148742.tif",15148742
"228",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149121.tif",15149121
"229",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149121.tif",15149121
"230",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149121.tif",15149121
"231",1,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"232",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"233",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
