"","state","status","species"
"268","NY","N5B,N5N","Calcarius lapponicus"
"269","RI","N5B,N5N","Calcarius lapponicus"
"270","IUCN","LC - Least concern","Calcarius lapponicus"
"271","USA","N5B,N5N","Calcarius lapponicus"
"272","CT","N5B,N5N","Anthus rubescens"
"273","ME","S1B,S3N","Anthus rubescens"
"274","MA","S4N","Anthus rubescens"
"275","NH","S2B","Anthus rubescens"
"276","NY","N5B,N5N","Anthus rubescens"
"277","RI","N5B,N5N","Anthus rubescens"
"278","IUCN","LC - Least concern","Anthus rubescens"
"279","USA","N5B,N5N","Anthus rubescens"
"280","IUCN","LC - Least concern","Phaethon lepturus"
"281","USA","NNA","Phaethon lepturus"
"282","ME","S4N,S5B","Cepphus grylle"
"283","MA","S4N","Cepphus grylle"
"284","NH","S3","Cepphus grylle"
"285","NY","N4","Cepphus grylle"
"286","RI","N4","Cepphus grylle"
"287","IUCN","LC - Least concern","Cepphus grylle"
"288","USA","N4","Cepphus grylle"
"289","CT","SX","Camptorhynchus labradorius"
"290","ME","SX","Camptorhynchus labradorius"
"291","MA","SX","Camptorhynchus labradorius"
"292","NH","SX","Camptorhynchus labradorius"
"293","NY","SXN","Camptorhynchus labradorius"
"294","RI","SX","Camptorhynchus labradorius"
"295","IUCN","EX - Extinct","Camptorhynchus labradorius"
"296","USA","NXN","Camptorhynchus labradorius"
"297","CT","N5B","Calidris melanotos"
"298","ME","S2S3N","Calidris melanotos"
"299","MA","S3N","Calidris melanotos"
"300","NH","N5B","Calidris melanotos"
"301","NY","N5B","Calidris melanotos"
"302","RI","N5B","Calidris melanotos"
"303","IUCN","LC - Least concern","Calidris melanotos"
"304","USA","N5B","Calidris melanotos"
"305","CT","N5N","Calidris maritima"
"306","ME","S4S5N","Calidris maritima"
"307","MA","S4N","Calidris maritima"
"308","NH","N5N","Calidris maritima"
"309","NY","N5N","Calidris maritima"
"310","RI","N5N","Calidris maritima"
"311","IUCN","LC - Least concern","Calidris maritima"
"312","USA","N5N","Calidris maritima"
"313","CT","N2N3B,N3N","Calidris canutus"
"314","ME","S3N","Calidris canutus"
"315","MA","S2N","Calidris canutus"
"316","NH","N2N3B,N3N","Calidris canutus"
"317","NY","N2N3B,N3N","Calidris canutus"
"318","RI","S3N","Calidris canutus"
"319","IUCN","NT - Near threatened","Calidris canutus"
"320","USA","N2N3B,N3N","Calidris canutus"
"321","CT","N4B,N5N","Calidris alba"
"322","ME","S4N","Calidris alba"
"323","MA","S5N","Calidris alba"
"324","NH","N4B,N5N","Calidris alba"
"325","NY","N4B,N5N","Calidris alba"
"326","RI","N4B,N5N","Calidris alba"
"327","IUCN","LC - Least concern","Calidris alba"
"328","USA","N4B,N5N","Calidris alba"
"329","CT","N5B,N5N","Bucephala albeola"
"330","ME","S5N","Bucephala albeola"
"331","MA","S5N","Bucephala albeola"
"332","NH","N5B,N5N","Bucephala albeola"
"333","NY","N5B,N5N","Bucephala albeola"
"334","RI","N5B,N5N","Bucephala albeola"
"335","IUCN","LC - Least concern","Bucephala albeola"
"336","USA","N5B,N5N","Bucephala albeola"
"337","CT","N5B,N5N","Aythya marila"
"338","ME","S3S4N","Aythya marila"
"339","MA","S5N","Aythya marila"
"340","NH","N5B,N5N","Aythya marila"
"341","NY","N5B,N5N","Aythya marila"
"342","RI","N5B,N5N","Aythya marila"
"343","IUCN","LC - Least concern","Aythya marila"
"344","USA","N5B,N5N","Aythya marila"
"345","IUCN","LC - Least concern","Aythya fuligula"
"346","USA","NNA","Aythya fuligula"
"347","CT","N5B,N5N","Aythya americana"
"348","ME","N5B,N5N","Aythya americana"
"349","MA","S3N","Aythya americana"
"350","NY","N5B,N5N","Aythya americana"
"351","RI","S2N","Aythya americana"
"352","IUCN","LC - Least concern","Aythya americana"
"353","USA","N5B,N5N","Aythya americana"
"354","CT","N5B,N5N","Aythya affinis"
"355","ME","S1S3N","Aythya affinis"
"356","MA","S5N","Aythya affinis"
"357","NH","N5B,N5N","Aythya affinis"
"358","RI","N5B,N5N","Aythya affinis"
"359","IUCN","LC - Least concern","Aythya affinis"
"360","USA","N5B,N5N","Aythya affinis"
"361","CT","N5B,N5N","Arenaria interpres"
"362","ME","S4N","Arenaria interpres"
"363","MA","S4N","Arenaria interpres"
"364","NH","N5B,N5N","Arenaria interpres"
"365","NY","N5B,N5N","Arenaria interpres"
"366","RI","S4N","Arenaria interpres"
"367","IUCN","LC - Least concern","Arenaria interpres"
"368","USA","N5B,N5N","Arenaria interpres"
"369","CT","N5B,N5N","Anser caerulescens"
"370","ME","S3N","Anser caerulescens"
"371","MA","S4N","Anser caerulescens"
"372","NH","N5B,N5N","Anser caerulescens"
"373","NY","N5B,N5N","Anser caerulescens"
"374","RI","N5B,N5N","Anser caerulescens"
"375","IUCN","LC - Least concern","Anser caerulescens"
"376","USA","N5B,N5N","Anser caerulescens"
"377","CT","S3B,S4N","Anas rubripes"
"378","ME","S5B,S5N","Anas rubripes"
"379","MA","S4B,S5N","Anas rubripes"
"380","NH","S4","Anas rubripes"
"381","NY","S3B,SNRN","Anas rubripes"
"382","RI","S4B,S4N","Anas rubripes"
"383","IUCN","LC - Least concern","Anas rubripes"
"384","USA","N5B,N5N","Anas rubripes"
"385","CT","N5B,N5N","Anas acuta"
"386","ME","S1B,S3S4N","Anas acuta"
"387","MA","S1B,S5M","Anas acuta"
"388","NH","N5B,N5N","Anas acuta"
"389","NY","S1B,S3N","Anas acuta"
"390","RI","N5B,N5N","Anas acuta"
"391","IUCN","LC - Least concern","Anas acuta"
"392","USA","N5B,N5N","Anas acuta"
"393","CT","S5B","Actitis macularius"
"394","ME","S5B","Actitis macularius"
"395","MA","S4B,S5N","Actitis macularius"
"396","NH","S5B","Actitis macularius"
"397","NY","S5B","Actitis macularius"
"398","RI","S4B,S4N","Actitis macularius"
"399","IUCN","LC - Least concern","Actitis macularius"
"400","USA","N5B,N5N","Actitis macularius"
"401","CT","S2B","Ardea alba"
"402","ME","S1?B,S3N","Ardea alba"
"403","MA","S2B,S4N","Ardea alba"
"404","NH","N5B,N5N","Ardea alba"
"405","NY","S4","Ardea alba"
"406","RI","S1B","Ardea alba"
"407","IUCN","LC - Least concern","Ardea alba"
"408","USA","N5B,N5N","Ardea alba"
"409","CT","N5B,N5N","Bucephala clangula"
"410","ME","S5B,S5N","Bucephala clangula"
"411","MA","S5N","Bucephala clangula"
"412","NH","S3B","Bucephala clangula"
"413","NY","S3,SNRN","Bucephala clangula"
"414","RI","N5B,N5N","Bucephala clangula"
"415","IUCN","LC - Least concern","Bucephala clangula"
"416","USA","N5B,N5N","Bucephala clangula"
"417","CT","S4B","Ardea herodias"
"418","ME","S4B","Ardea herodias"
"419","MA","S4B,S5N","Ardea herodias"
"420","NH","S4B","Ardea herodias"
"421","NY","S5","Ardea herodias"
"422","RI","S2B","Ardea herodias"
"423","IUCN","LC - Least concern","Ardea herodias"
"424","USA","N5B,N5N","Ardea herodias"
"425","IUCN","NT - Near threatened","Calidris ruficollis"
"426","USA","N3B","Calidris ruficollis"
"427","CT","N5B","Calidris pusilla"
"428","ME","S4S5N","Calidris pusilla"
"429","MA","S5N","Calidris pusilla"
"430","NH","N5B","Calidris pusilla"
"431","NY","N5B","Calidris pusilla"
"432","RI","N5B","Calidris pusilla"
"433","IUCN","NT - Near threatened","Calidris pusilla"
"434","USA","N5B","Calidris pusilla"
"435","CT","N5B,N5N","Melanitta americana"
"436","ME","S3S4N","Melanitta americana"
"437","MA","S5N","Melanitta americana"
"438","NH","N5B,N5N","Melanitta americana"
"439","NY","N5B,N5N","Melanitta americana"
"440","RI","N5B,N5N","Melanitta americana"
"441","IUCN","NT - Near threatened","Melanitta americana"
"442","USA","N5B,N5N","Melanitta americana"
"443","CT","N5B,N5N","Calidris minutilla"
"444","ME","S4S5N","Calidris minutilla"
"445","MA","S5N","Calidris minutilla"
"446","NH","N5B,N5N","Calidris minutilla"
"447","NY","N5B,N5N","Calidris minutilla"
"448","RI","N5B,N5N","Calidris minutilla"
"449","IUCN","LC - Least concern","Calidris minutilla"
"450","USA","N5B,N5N","Calidris minutilla"
"451","CT","N5B,N5N","Larus hyperboreus"
"452","ME","S1N","Larus hyperboreus"
"453","MA","S1N","Larus hyperboreus"
"454","NH","N5B,N5N","Larus hyperboreus"
"455","NY","N5B,N5N","Larus hyperboreus"
"456","RI","S2N","Larus hyperboreus"
"457","IUCN","LC - Least concern","Larus hyperboreus"
"458","USA","N5B,N5N","Larus hyperboreus"
"459","CT","N3B","Calidris fuscicollis"
"460","ME","S2S3N","Calidris fuscicollis"
"461","MA","S3N","Calidris fuscicollis"
"462","NH","N3B","Calidris fuscicollis"
"463","NY","N3B","Calidris fuscicollis"
"464","RI","S3N","Calidris fuscicollis"
"465","IUCN","LC - Least concern","Calidris fuscicollis"
"466","USA","N3B","Calidris fuscicollis"
"467","CT","N5B,N5N","Calidris alpina"
"468","ME","S3N","Calidris alpina"
"469","MA","S5N","Calidris alpina"
"470","NH","N5B,N5N","Calidris alpina"
"471","NY","N5B,N5N","Calidris alpina"
"472","RI","N5B,N5N","Calidris alpina"
"473","IUCN","LC - Least concern","Calidris alpina"
"474","USA","N5B,N5N","Calidris alpina"
"475","CT","N5B,N5N","Branta bernicla"
"476","ME","S3S4N","Branta bernicla"
"477","MA","S4N","Branta bernicla"
"478","NH","N5B,N5N","Branta bernicla"
"479","NY","N5B,N5N","Branta bernicla"
"480","RI","N5B,N5N","Branta bernicla"
"481","IUCN","LC - Least concern","Branta bernicla"
"482","USA","N5B,N5N","Branta bernicla"
"483","CT","S1B,S3N","Haliaeetus leucocephalus"
"484","ME","S4B,S4N","Haliaeetus leucocephalus"
"485","MA","S2B,S3N","Haliaeetus leucocephalus"
"486","NH","S2","Haliaeetus leucocephalus"
"487","NY","S2S3B,S2N","Haliaeetus leucocephalus"
"488","RI","S1B,S1N","Haliaeetus leucocephalus"
"489","IUCN","LC - Least concern","Haliaeetus leucocephalus"
"490","USA","N5B,N5N","Haliaeetus leucocephalus"
"491","CT","S5B","Melospiza melodia"
"492","ME","S4N,S4S5B","Melospiza melodia"
"493","MA","S5","Melospiza melodia"
"494","NH","S5","Melospiza melodia"
"495","NY","S5B","Melospiza melodia"
"496","RI","S5B","Melospiza melodia"
"497","IUCN","LC - Least concern","Melospiza melodia"
"498","USA","N5","Melospiza melodia"
"499","CT","N5B,N5N","Aythya valisineria"
"500","ME","N5B,N5N","Aythya valisineria"
"501","MA","S3N","Aythya valisineria"
"502","NH","N5B,N5N","Aythya valisineria"
"503","NY","N5B,N5N","Aythya valisineria"
"504","RI","N5B,N5N","Aythya valisineria"
"505","IUCN","LC - Least concern","Aythya valisineria"
"506","USA","N5B,N5N","Aythya valisineria"
"507","CT","S1B","Egretta tricolor"
"508","ME","S1B","Egretta tricolor"
"509","MA","SXB,S2N","Egretta tricolor"
"510","NH","N5B,N5N","Egretta tricolor"
"511","NY","S2","Egretta tricolor"
"512","RI","S2N","Egretta tricolor"
