iucn_sid,sciname,population,category,common_name
198561,Kyphosus sectatrix,NA,LC,Bermuda Sea Chub
195038,Lampris guttatus,NA,LC,Opah
190378,Regalecus glesne,NA,LC,Oarfish
21112669,Stylephorus chordatus,NA,LC,Tube-eye
190073,Desmodema polystictum,NA,LC,Polka-dot Ribbonfish
190346,Zu cristatus,NA,LC,Scalloped Ribbonfish
170009,Homarus americanus,NA,LC,American Lobster
185012,Stereomastis sculpta,NA,LC,Flatback Lobster
169958,Nephropsis aculeata,NA,LC,Florida Lobsterette
169976,Panulirus argus,NA,DD,Caribbean Spiny Lobster
185000,Stereomastis nana,NA,LC,NA
185015,Cardus crucifer,NA,LC,NA
185026,Polycheles typhlops,NA,LC,NA
16467178,Fowlerichthys radiosus,NA,LC,Singlespot Frogfish
190183,Histrio histrio,NA,LC,Sargassumfish
190447,Caulophryne jordani,NA,LC,Fanfin Angler
21112867,Caulophryne polynema,NA,LC,NA
60469670,Centrophryne spinulosa,NA,LC,Horned lantern fish
18127741,Ceratias holboelli,NA,LC,Deepsea Angler
21112879,Ceratias uranoscopus,NA,LC,Stargazing Seadevil
190067,Cryptopsaras couesii,NA,LC,Triplewart Seadevil
18127809,Bufoceratias wedli,NA,LC,NA
190089,Diceratias pileatus,NA,LC,NA
60470485,Gigantactis gibbsi,NA,LC,NA
60470680,Gigantactis ios,NA,LC,NA
60470683,Gigantactis longicirra,NA,LC,NA
60470687,Gigantactis vanhoeffeni,NA,DD,Cosmopolitan whipnose
60470792,Himantolophus albinares,NA,DD,Footballfish
60470817,Himantolophus brevirostris,NA,DD,NA
18127836,Himantolophus groenlandicus,NA,LC,Atlantic Football-Fish
60470918,Himantolophus rostratus,NA,DD,NA
60470770,Haplophryne mollis,NA,LC,Soft leafvent angler
21112898,Linophryne pennibarbata,NA,LC,NA
18127840,Melanocetus johnsonii,NA,LC,Humpback Anglerfish
60481914,Neoceratias spinifer,NA,LC,Spiny seadevil
20663855,Dibranchus atlanticus,NA,LC,Atlantic Batfish
20663917,Dibranchus tremendus,NA,LC,NA
60469804,Chaenophryne draco,NA,LC,Smooth dreamer
154916,Chaenophryne longiceps,NA,LC,Can-opener Smoothdream
42830251,Chaenophryne ramifera,NA,LC,NA
42830260,Dolopichthys allector,NA,LC,NA
61934241,Dolopichthys danae,NA,LC,NA
190278,Dolopichthys longicornis,NA,LC,NA
60470361,Dolopichthys pullatus,NA,DD,Lobed dreamer
60471934,Leptacanthichthys gracilispinis,NA,DD,Plainchin dreamarm
190157,Lophodolos acanthognathus,NA,LC,Whalehead Dreamer
42830277,Microlophichthys microlophus,NA,LC,Short-rod anglerfish
18128749,Oneirodes eschrichtii,NA,LC,Bulbous Dreamer
60482102,Oneirodes macrosteus,NA,LC,NA
60482374,Pentherichthys atratus,NA,LC,NA
60482553,Phyllorhinichthys balushkini,NA,LC,NA
190402,Spiniphryne gladisfenae,NA,LC,Prickly Dreamer
12417,Lutjanus cyanopterus,NA,VU,Cubera Snapper
192941,Lutjanus griseus,NA,LC,Grey Snapper
190221,Lutjanus jocu,NA,DD,Dog Snapper
194341,Ocyurus chrysurus,NA,DD,Yellowtail Snapper
190116,Luvarus imperialis,NA,LC,Louvar
