"","year","code","category","sciname"
"1516","2004","LC","Least Concern","Tringa melanoleuca"
"1517","2000","LR/lc","Lower Risk/least concern","Tringa melanoleuca"
"1518","1994","LR/lc","Lower Risk/least concern","Tringa melanoleuca"
"1519","1988","LR/lc","Lower Risk/least concern","Tringa melanoleuca"
"1520","2016","LC","Least Concern","Sturnus vulgaris"
"1521","2015","LC","Least Concern","Sturnus vulgaris"
"1522","2014","LC","Least Concern","Sturnus vulgaris"
"1523","2012","LC","Least Concern","Sturnus vulgaris"
"1524","2009","LC","Least Concern","Sturnus vulgaris"
"1525","2008","LC","Least Concern","Sturnus vulgaris"
"1526","2004","LC","Least Concern","Sturnus vulgaris"
"1527","2000","LR/lc","Lower Risk/least concern","Sturnus vulgaris"
"1528","1994","LR/lc","Lower Risk/least concern","Sturnus vulgaris"
"1529","1988","LR/lc","Lower Risk/least concern","Sturnus vulgaris"
"1530","2018","LC","Least Concern","Hydroprogne caspia"
"1531","2017","LC","Least Concern","Hydroprogne caspia"
"1532","2016","LC","Least Concern","Hydroprogne caspia"
"1533","2015","LC","Least Concern","Hydroprogne caspia"
"1534","2012","LC","Least Concern","Hydroprogne caspia"
"1535","2009","LC","Least Concern","Hydroprogne caspia"
"1536","2008","LC","Least Concern","Hydroprogne caspia"
"1537","2004","LC","Least Concern","Hydroprogne caspia"
"1538","2000","LR/lc","Lower Risk/least concern","Hydroprogne caspia"
"1539","1994","LR/lc","Lower Risk/least concern","Hydroprogne caspia"
"1540","1988","LR/lc","Lower Risk/least concern","Hydroprogne caspia"
"1541","2018","LC","Least Concern","Podiceps grisegena"
"1542","2017","LC","Least Concern","Podiceps grisegena"
"1543","2016","LC","Least Concern","Podiceps grisegena"
"1544","2012","LC","Least Concern","Podiceps grisegena"
"1545","2009","LC","Least Concern","Podiceps grisegena"
"1546","2008","LC","Least Concern","Podiceps grisegena"
"1547","2004","LC","Least Concern","Podiceps grisegena"
"1548","2000","LR/lc","Lower Risk/least concern","Podiceps grisegena"
"1549","1994","LR/lc","Lower Risk/least concern","Podiceps grisegena"
"1550","1988","LR/lc","Lower Risk/least concern","Podiceps grisegena"
"1551","2018","EN","Endangered","Pterodroma cahow"
"1552","2016","EN","Endangered","Pterodroma cahow"
"1553","2012","EN","Endangered","Pterodroma cahow"
"1554","2010","EN","Endangered","Pterodroma cahow"
"1555","2008","EN","Endangered","Pterodroma cahow"
"1556","2006","EN","Endangered","Pterodroma cahow"
"1557","2004","EN","Endangered","Pterodroma cahow"
"1558","2000","EN","Endangered","Pterodroma cahow"
"1559","1996","EN","Endangered","Pterodroma cahow"
"1560","1994","EN","Endangered","Pterodroma cahow"
"1561","1988","T","Threatened","Pterodroma cahow"
"1562","2018","VU","Vulnerable","Pterodroma deserta"
"1563","2016","VU","Vulnerable","Pterodroma deserta"
"1564","2014","VU","Vulnerable","Pterodroma deserta"
"1565","2010","NR","Not Recognized","Pterodroma deserta"
"1566","2008","NR","Not Recognized","Pterodroma deserta"
"1567","2004","NR","Not Recognized","Pterodroma deserta"
"1568","2000","NR","Not Recognized","Pterodroma deserta"
"1569","1994","NR","Not Recognized","Pterodroma deserta"
"1570","1988","NR","Not Recognized","Pterodroma deserta"
"1571","2016","LC","Least Concern","Corvus ossifragus"
"1572","2012","LC","Least Concern","Corvus ossifragus"
"1573","2009","LC","Least Concern","Corvus ossifragus"
"1574","2008","LC","Least Concern","Corvus ossifragus"
"1575","2004","LC","Least Concern","Corvus ossifragus"
"1576","2000","LR/lc","Lower Risk/least concern","Corvus ossifragus"
"1577","1994","LR/lc","Lower Risk/least concern","Corvus ossifragus"
"1578","1988","LR/lc","Lower Risk/least concern","Corvus ossifragus"
"1579","2016","LC","Least Concern","Cistothorus palustris"
"1580","2012","LC","Least Concern","Cistothorus palustris"
"1581","2009","LC","Least Concern","Cistothorus palustris"
"1582","2008","LC","Least Concern","Cistothorus palustris"
"1583","2004","LC","Least Concern","Cistothorus palustris"
"1584","2000","LR/lc","Lower Risk/least concern","Cistothorus palustris"
"1585","1994","LR/lc","Lower Risk/least concern","Cistothorus palustris"
"1586","1988","LR/lc","Lower Risk/least concern","Cistothorus palustris"
"1587","2016","LC","Least Concern","Geothlypis trichas"
"1588","2012","LC","Least Concern","Geothlypis trichas"
"1589","2009","LC","Least Concern","Geothlypis trichas"
"1590","2008","LC","Least Concern","Geothlypis trichas"
"1591","2004","LC","Least Concern","Geothlypis trichas"
"1592","2000","LR/lc","Lower Risk/least concern","Geothlypis trichas"
"1593","1994","LR/lc","Lower Risk/least concern","Geothlypis trichas"
"1594","1988","LR/lc","Lower Risk/least concern","Geothlypis trichas"
"1595","2016","LC","Least Concern","Egretta tricolor"
"1596","2012","LC","Least Concern","Egretta tricolor"
"1597","2009","LC","Least Concern","Egretta tricolor"
"1598","2008","LC","Least Concern","Egretta tricolor"
"1599","2004","LC","Least Concern","Egretta tricolor"
"1600","2000","LR/lc","Lower Risk/least concern","Egretta tricolor"
"1601","1994","LR/lc","Lower Risk/least concern","Egretta tricolor"
"1602","1988","LR/lc","Lower Risk/least concern","Egretta tricolor"
"1603","2016","LC","Least Concern","Aythya valisineria"
"1604","2012","LC","Least Concern","Aythya valisineria"
"1605","2009","LC","Least Concern","Aythya valisineria"
"1606","2008","LC","Least Concern","Aythya valisineria"
"1607","2004","LC","Least Concern","Aythya valisineria"
"1608","2000","LR/lc","Lower Risk/least concern","Aythya valisineria"
"1609","1994","LR/lc","Lower Risk/least concern","Aythya valisineria"
"1610","1988","LR/lc","Lower Risk/least concern","Aythya valisineria"
"1611","2016","LC","Least Concern","Melospiza melodia"
"1612","2012","LC","Least Concern","Melospiza melodia"
"1613","2009","LC","Least Concern","Melospiza melodia"
"1614","2008","LC","Least Concern","Melospiza melodia"
"1615","2004","LC","Least Concern","Melospiza melodia"
"1616","2000","LR/lc","Lower Risk/least concern","Melospiza melodia"
"1617","1994","LR/lc","Lower Risk/least concern","Melospiza melodia"
"1618","1988","LR/lc","Lower Risk/least concern","Melospiza melodia"
"1619","2016","LC","Least Concern","Haliaeetus leucocephalus"
"1620","2012","LC","Least Concern","Haliaeetus leucocephalus"
"1621","2009","LC","Least Concern","Haliaeetus leucocephalus"
"1622","2008","LC","Least Concern","Haliaeetus leucocephalus"
"1623","2004","LC","Least Concern","Haliaeetus leucocephalus"
"1624","2000","LR/lc","Lower Risk/least concern","Haliaeetus leucocephalus"
"1625","1994","LR/lc","Lower Risk/least concern","Haliaeetus leucocephalus"
"1626","1988","LR/lc","Lower Risk/least concern","Haliaeetus leucocephalus"
"1627","2016","LC","Least Concern","Branta bernicla"
"1628","2012","LC","Least Concern","Branta bernicla"
"1629","2009","LC","Least Concern","Branta bernicla"
"1630","2008","LC","Least Concern","Branta bernicla"
"1631","2004","LC","Least Concern","Branta bernicla"
"1632","2000","LR/lc","Lower Risk/least concern","Branta bernicla"
"1633","1994","LR/lc","Lower Risk/least concern","Branta bernicla"
"1634","1988","LR/lc","Lower Risk/least concern","Branta bernicla"
"1635","2016","LC","Least Concern","Calidris alpina"
"1636","2012","LC","Least Concern","Calidris alpina"
"1637","2009","LC","Least Concern","Calidris alpina"
"1638","2008","LC","Least Concern","Calidris alpina"
"1639","2004","LC","Least Concern","Calidris alpina"
"1640","2000","LR/lc","Lower Risk/least concern","Calidris alpina"
"1641","1994","LR/lc","Lower Risk/least concern","Calidris alpina"
"1642","1988","LR/lc","Lower Risk/least concern","Calidris alpina"
"1643","2016","LC","Least Concern","Calidris fuscicollis"
"1644","2012","LC","Least Concern","Calidris fuscicollis"
"1645","2009","LC","Least Concern","Calidris fuscicollis"
"1646","2008","LC","Least Concern","Calidris fuscicollis"
"1647","2004","LC","Least Concern","Calidris fuscicollis"
"1648","2000","LR/lc","Lower Risk/least concern","Calidris fuscicollis"
"1649","1994","LR/lc","Lower Risk/least concern","Calidris fuscicollis"
"1650","1988","LR/lc","Lower Risk/least concern","Calidris fuscicollis"
"1651","2018","LC","Least Concern","Larus hyperboreus"
"1652","2016","LC","Least Concern","Larus hyperboreus"
"1653","2012","LC","Least Concern","Larus hyperboreus"
"1654","2009","LC","Least Concern","Larus hyperboreus"
"1655","2008","LC","Least Concern","Larus hyperboreus"
"1656","2004","LC","Least Concern","Larus hyperboreus"
"1657","2000","LR/lc","Lower Risk/least concern","Larus hyperboreus"
"1658","1994","LR/lc","Lower Risk/least concern","Larus hyperboreus"
"1659","1988","LR/lc","Lower Risk/least concern","Larus hyperboreus"
"1660","2016","LC","Least Concern","Calidris minutilla"
"1661","2015","LC","Least Concern","Calidris minutilla"
"1662","2012","LC","Least Concern","Calidris minutilla"
"1663","2009","LC","Least Concern","Calidris minutilla"
"1664","2008","LC","Least Concern","Calidris minutilla"
"1665","2004","LC","Least Concern","Calidris minutilla"
"1666","2000","LR/lc","Lower Risk/least concern","Calidris minutilla"
"1667","1994","LR/lc","Lower Risk/least concern","Calidris minutilla"
"1668","1988","LR/lc","Lower Risk/least concern","Calidris minutilla"
"1669","2016","NT","Near Threatened","Calidris pusilla"
"1670","2012","NT","Near Threatened","Calidris pusilla"
"1671","2009","LC","Least Concern","Calidris pusilla"
"1672","2008","LC","Least Concern","Calidris pusilla"
"1673","2004","LC","Least Concern","Calidris pusilla"
"1674","2000","LR/lc","Lower Risk/least concern","Calidris pusilla"
"1675","1994","LR/lc","Lower Risk/least concern","Calidris pusilla"
"1676","1988","LR/lc","Lower Risk/least concern","Calidris pusilla"
"1677","2016","NT","Near Threatened","Calidris ruficollis"
"1678","2015","NT","Near Threatened","Calidris ruficollis"
"1679","2012","LC","Least Concern","Calidris ruficollis"
"1680","2009","LC","Least Concern","Calidris ruficollis"
"1681","2008","LC","Least Concern","Calidris ruficollis"
"1682","2004","LC","Least Concern","Calidris ruficollis"
"1683","2000","LR/lc","Lower Risk/least concern","Calidris ruficollis"
"1684","1994","LR/lc","Lower Risk/least concern","Calidris ruficollis"
"1685","1988","LR/lc","Lower Risk/least concern","Calidris ruficollis"
"1686","2018","LC","Least Concern","Melanitta deglandi"
"1687","2016","LC","Least Concern","Melanitta deglandi"
"1688","2013","LC","Least Concern","Melanitta deglandi"
"1689","2012","LC","Least Concern","Melanitta deglandi"
"1690","2016","LC","Least Concern","Ardea herodias"
"1691","2012","LC","Least Concern","Ardea herodias"
"1692","2009","LC","Least Concern","Ardea herodias"
"1693","2008","LC","Least Concern","Ardea herodias"
"1694","2004","LC","Least Concern","Ardea herodias"
"1695","2000","LR/lc","Lower Risk/least concern","Ardea herodias"
"1696","1994","LR/lc","Lower Risk/least concern","Ardea herodias"
"1697","1988","LR/lc","Lower Risk/least concern","Ardea herodias"
"1698","2018","LC","Least Concern","Bucephala clangula"
"1699","2016","LC","Least Concern","Bucephala clangula"
"1700","2012","LC","Least Concern","Bucephala clangula"
"1701","2009","LC","Least Concern","Bucephala clangula"
"1702","2008","LC","Least Concern","Bucephala clangula"
"1703","2004","LC","Least Concern","Bucephala clangula"
"1704","2000","LR/lc","Lower Risk/least concern","Bucephala clangula"
"1705","1994","LR/lc","Lower Risk/least concern","Bucephala clangula"
"1706","1988","LR/lc","Lower Risk/least concern","Bucephala clangula"
"1707","2016","LC","Least Concern","Ardea alba"
"1708","2012","LC","Least Concern","Ardea alba"
"1709","2009","LC","Least Concern","Ardea alba"
"1710","2008","LC","Least Concern","Ardea alba"
"1711","2004","LC","Least Concern","Ardea alba"
"1712","2000","LR/lc","Lower Risk/least concern","Ardea alba"
"1713","1994","LR/lc","Lower Risk/least concern","Ardea alba"
"1714","1988","LR/lc","Lower Risk/least concern","Ardea alba"
"1715","2016","LC","Least Concern","Actitis macularius"
"1716","2012","LC","Least Concern","Actitis macularius"
"1717","2009","LC","Least Concern","Actitis macularius"
"1718","2008","LC","Least Concern","Actitis macularius"
"1719","2004","LC","Least Concern","Actitis macularius"
"1720","2000","LR/lc","Lower Risk/least concern","Actitis macularius"
"1721","1994","LR/lc","Lower Risk/least concern","Actitis macularius"
"1722","1988","LR/lc","Lower Risk/least concern","Actitis macularius"
"1723","2016","LC","Least Concern","Anas acuta"
"1724","2013","LC","Least Concern","Anas acuta"
"1725","2012","LC","Least Concern","Anas acuta"
"1726","2009","LC","Least Concern","Anas acuta"
"1727","2008","LC","Least Concern","Anas acuta"
"1728","2004","LC","Least Concern","Anas acuta"
"1729","2000","LR/lc","Lower Risk/least concern","Anas acuta"
"1730","1994","LR/lc","Lower Risk/least concern","Anas acuta"
"1731","1988","LR/lc","Lower Risk/least concern","Anas acuta"
"1732","2016","LC","Least Concern","Anas rubripes"
"1733","2012","LC","Least Concern","Anas rubripes"
"1734","2009","LC","Least Concern","Anas rubripes"
"1735","2008","LC","Least Concern","Anas rubripes"
"1736","2004","LC","Least Concern","Anas rubripes"
"1737","2000","LR/lc","Lower Risk/least concern","Anas rubripes"
"1738","1994","LR/lc","Lower Risk/least concern","Anas rubripes"
"1739","1988","LR/lc","Lower Risk/least concern","Anas rubripes"
"1740","2018","LC","Least Concern","Anser caerulescens"
"1741","2016","LC","Least Concern","Anser caerulescens"
"1742","2012","LC","Least Concern","Anser caerulescens"
"1743","2009","LC","Least Concern","Anser caerulescens"
"1744","2008","LC","Least Concern","Anser caerulescens"
"1745","2004","LC","Least Concern","Anser caerulescens"
"1746","2000","LR/lc","Lower Risk/least concern","Anser caerulescens"
"1747","1994","LR/lc","Lower Risk/least concern","Anser caerulescens"
"1748","1988","LR/lc","Lower Risk/least concern","Anser caerulescens"
"1749","2016","LC","Least Concern","Arenaria interpres"
"1750","2012","LC","Least Concern","Arenaria interpres"
"1751","2009","LC","Least Concern","Arenaria interpres"
"1752","2008","LC","Least Concern","Arenaria interpres"
"1753","2004","LC","Least Concern","Arenaria interpres"
"1754","2000","LR/lc","Lower Risk/least concern","Arenaria interpres"
"1755","1994","LR/lc","Lower Risk/least concern","Arenaria interpres"
"1756","1988","LR/lc","Lower Risk/least concern","Arenaria interpres"
"1757","2016","LC","Least Concern","Aythya affinis"
"1758","2012","LC","Least Concern","Aythya affinis"
"1759","2009","LC","Least Concern","Aythya affinis"
"1760","2008","LC","Least Concern","Aythya affinis"
"1761","2004","LC","Least Concern","Aythya affinis"
"1762","2000","LR/lc","Lower Risk/least concern","Aythya affinis"
"1763","1994","LR/lc","Lower Risk/least concern","Aythya affinis"
"1764","1988","LR/lc","Lower Risk/least concern","Aythya affinis"
"1765","2016","LC","Least Concern","Aythya americana"
"1766","2012","LC","Least Concern","Aythya americana"
"1767","2009","LC","Least Concern","Aythya americana"
"1768","2008","LC","Least Concern","Aythya americana"
"1769","2004","LC","Least Concern","Aythya americana"
"1770","2000","LR/lc","Lower Risk/least concern","Aythya americana"
"1771","1994","LR/lc","Lower Risk/least concern","Aythya americana"
"1772","1988","LR/lc","Lower Risk/least concern","Aythya americana"
"1773","2016","LC","Least Concern","Aythya fuligula"
"1774","2015","LC","Least Concern","Aythya fuligula"
"1775","2012","LC","Least Concern","Aythya fuligula"
"1776","2009","LC","Least Concern","Aythya fuligula"
"1777","2008","LC","Least Concern","Aythya fuligula"
"1778","2004","LC","Least Concern","Aythya fuligula"
"1779","2000","LR/lc","Lower Risk/least concern","Aythya fuligula"
"1780","1994","LR/lc","Lower Risk/least concern","Aythya fuligula"
"1781","1988","LR/lc","Lower Risk/least concern","Aythya fuligula"
"1782","2018","LC","Least Concern","Aythya marila"
"1783","2016","LC","Least Concern","Aythya marila"
"1784","2012","LC","Least Concern","Aythya marila"
"1785","2009","LC","Least Concern","Aythya marila"
"1786","2008","LC","Least Concern","Aythya marila"
"1787","2004","LC","Least Concern","Aythya marila"
"1788","2000","LR/lc","Lower Risk/least concern","Aythya marila"
"1789","1994","LR/lc","Lower Risk/least concern","Aythya marila"
"1790","1988","LR/lc","Lower Risk/least concern","Aythya marila"
"1791","2016","LC","Least Concern","Bucephala albeola"
"1792","2012","LC","Least Concern","Bucephala albeola"
"1793","2009","LC","Least Concern","Bucephala albeola"
"1794","2008","LC","Least Concern","Bucephala albeola"
"1795","2004","LC","Least Concern","Bucephala albeola"
"1796","2000","LR/lc","Lower Risk/least concern","Bucephala albeola"
"1797","1994","LR/lc","Lower Risk/least concern","Bucephala albeola"
"1798","1988","LR/lc","Lower Risk/least concern","Bucephala albeola"
"1799","2016","LC","Least Concern","Butorides striata"
"1800","2014","LC","Least Concern","Butorides striata"
"1801","2016","LC","Least Concern","Calidris alba"
"1802","2012","LC","Least Concern","Calidris alba"
"1803","2009","LC","Least Concern","Calidris alba"
"1804","2008","LC","Least Concern","Calidris alba"
"1805","2004","LC","Least Concern","Calidris alba"
"1806","2000","LR/lc","Lower Risk/least concern","Calidris alba"
"1807","1994","LR/lc","Lower Risk/least concern","Calidris alba"
"1808","1988","LR/lc","Lower Risk/least concern","Calidris alba"
"1809","2018","NT","Near Threatened","Calidris canutus"
"1810","2017","NT","Near Threatened","Calidris canutus"
"1811","2016","NT","Near Threatened","Calidris canutus"
"1812","2015","NT","Near Threatened","Calidris canutus"
"1813","2012","LC","Least Concern","Calidris canutus"
"1814","2009","LC","Least Concern","Calidris canutus"
"1815","2008","LC","Least Concern","Calidris canutus"
"1816","2004","LC","Least Concern","Calidris canutus"
"1817","2000","LR/lc","Lower Risk/least concern","Calidris canutus"
"1818","1994","LR/lc","Lower Risk/least concern","Calidris canutus"
"1819","1988","LR/lc","Lower Risk/least concern","Calidris canutus"
"1820","2018","LC","Least Concern","Calidris maritima"
"1821","2016","LC","Least Concern","Calidris maritima"
"1822","2012","LC","Least Concern","Calidris maritima"
"1823","2009","LC","Least Concern","Calidris maritima"
"1824","2008","LC","Least Concern","Calidris maritima"
"1825","2004","LC","Least Concern","Calidris maritima"
"1826","2000","LR/lc","Lower Risk/least concern","Calidris maritima"
"1827","1994","LR/lc","Lower Risk/least concern","Calidris maritima"
"1828","1988","LR/lc","Lower Risk/least concern","Calidris maritima"
"1829","2016","LC","Least Concern","Calidris melanotos"
"1830","2012","LC","Least Concern","Calidris melanotos"
"1831","2009","LC","Least Concern","Calidris melanotos"
"1832","2008","LC","Least Concern","Calidris melanotos"
"1833","2004","LC","Least Concern","Calidris melanotos"
"1834","2000","LR/lc","Lower Risk/least concern","Calidris melanotos"
"1835","1994","LR/lc","Lower Risk/least concern","Calidris melanotos"
"1836","1988","LR/lc","Lower Risk/least concern","Calidris melanotos"
"1837","2016","EX","Extinct","Camptorhynchus labradorius"
"1838","2012","EX","Extinct","Camptorhynchus labradorius"
"1839","2008","EX","Extinct","Camptorhynchus labradorius"
"1840","2004","EX","Extinct","Camptorhynchus labradorius"
"1841","2000","EX","Extinct","Camptorhynchus labradorius"
"1842","1994","EX","Extinct","Camptorhynchus labradorius"
"1843","1988","EX","Extinct","Camptorhynchus labradorius"
"1844","2018","LC","Least Concern","Phaethon lepturus"
"1845","2017","LC","Least Concern","Phaethon lepturus"
"1846","2016","LC","Least Concern","Phaethon lepturus"
"1847","2012","LC","Least Concern","Phaethon lepturus"
"1848","2009","LC","Least Concern","Phaethon lepturus"
"1849","2008","LC","Least Concern","Phaethon lepturus"
"1850","2004","LC","Least Concern","Phaethon lepturus"
"1851","2000","LR/lc","Lower Risk/least concern","Phaethon lepturus"
"1852","1994","LR/lc","Lower Risk/least concern","Phaethon lepturus"
"1853","1988","LR/lc","Lower Risk/least concern","Phaethon lepturus"
"1854","2018","LC","Least Concern","Anthus rubescens"
"1855","2016","LC","Least Concern","Anthus rubescens"
"1856","2013","LC","Least Concern","Anthus rubescens"
"1857","2012","LC","Least Concern","Anthus rubescens"
"1858","2009","LC","Least Concern","Anthus rubescens"
"1859","2008","LC","Least Concern","Anthus rubescens"
"1860","2004","LC","Least Concern","Anthus rubescens"
"1861","2000","LR/lc","Lower Risk/least concern","Anthus rubescens"
"1862","1994","LR/lc","Lower Risk/least concern","Anthus rubescens"
"1863","1988","LR/lc","Lower Risk/least concern","Anthus rubescens"
"1864","2016","LC","Least Concern","Calcarius lapponicus"
"1865","2012","LC","Least Concern","Calcarius lapponicus"
"1866","2009","LC","Least Concern","Calcarius lapponicus"
"1867","2008","LC","Least Concern","Calcarius lapponicus"
"1868","2004","LC","Least Concern","Calcarius lapponicus"
"1869","2000","LR/lc","Lower Risk/least concern","Calcarius lapponicus"
"1870","1994","LR/lc","Lower Risk/least concern","Calcarius lapponicus"
"1871","1988","LR/lc","Lower Risk/least concern","Calcarius lapponicus"
"1872","2018","LC","Least Concern","Catharacta skua"
"1873","2017","LC","Least Concern","Catharacta skua"
"1874","2016","LC","Least Concern","Catharacta skua"
"1875","2012","LC","Least Concern","Catharacta skua"
"1876","2009","LC","Least Concern","Catharacta skua"
"1877","2008","LC","Least Concern","Catharacta skua"
"1878","2004","LC","Least Concern","Catharacta skua"
"1879","2000","LR/lc","Lower Risk/least concern","Catharacta skua"
"1880","1994","LR/lc","Lower Risk/least concern","Catharacta skua"
"1881","1988","LR/lc","Lower Risk/least concern","Catharacta skua"
"1882","2016","LC","Least Concern","Egretta caerulea"
"1883","2012","LC","Least Concern","Egretta caerulea"
"1884","2009","LC","Least Concern","Egretta caerulea"
"1885","2008","LC","Least Concern","Egretta caerulea"
"1886","2004","LC","Least Concern","Egretta caerulea"
"1887","2000","LR/lc","Lower Risk/least concern","Egretta caerulea"
"1888","1994","LR/lc","Lower Risk/least concern","Egretta caerulea"
"1889","1988","LR/lc","Lower Risk/least concern","Egretta caerulea"
"1890","2018","LC","Least Concern","Xema sabini"
"1891","2017","LC","Least Concern","Xema sabini"
"1892","2016","LC","Least Concern","Xema sabini"
"1893","2012","LC","Least Concern","Xema sabini"
"1894","2009","LC","Least Concern","Xema sabini"
"1895","2008","LC","Least Concern","Xema sabini"
"1896","2004","LC","Least Concern","Xema sabini"
"1897","2000","LR/lc","Lower Risk/least concern","Xema sabini"
"1898","1994","LR/lc","Lower Risk/least concern","Xema sabini"
"1899","1988","LR/lc","Lower Risk/least concern","Xema sabini"
"1900","2017","LC","Least Concern","Eremophila alpestris"
"1901","2016","LC","Least Concern","Eremophila alpestris"
"1902","2012","LC","Least Concern","Eremophila alpestris"
"1903","2009","LC","Least Concern","Eremophila alpestris"
"1904","2008","LC","Least Concern","Eremophila alpestris"
"1905","2004","LC","Least Concern","Eremophila alpestris"
"1906","2000","LR/lc","Lower Risk/least concern","Eremophila alpestris"
"1907","1994","LR/lc","Lower Risk/least concern","Eremophila alpestris"
"1908","1988","LR/lc","Lower Risk/least concern","Eremophila alpestris"
