"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"93",16506931,16506931,"Selene setapinnis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"94",16507307,16507307,"Selene vomer",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"95",198643,198643,"Seriola dumerili",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"96",190139,190139,"Seriola fasciata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"97",16507347,16507347,"Seriola rivoliana",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"98",16507442,16507442,"Seriola zonata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"99",16507646,16507646,"Trachinotus carolinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"100",190407,190407,"Trachinotus falcatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"101",154970,154970,"Trachinotus goodei",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"102",195098,195098,"Trachurus lathami",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"103",183364,183364,"Oligoplites saurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"104",198571,198571,"Centrolophus niger",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/centrolophidae.dbf","200 m +",FALSE
"105",155081,155081,"Hyperoglyphe perciformis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/centrolophidae.dbf","< 200 m",FALSE
