"","species","rgn_id"
"510","great_black_backed_gull_normalized_AEA",4
"511","great_black_backed_gull_normalized_AEA",6
"512","great_black_backed_gull_normalized_AEA",7
"513","great_black_backed_gull_normalized_AEA",8
"514","great_black_backed_gull_normalized_AEA",9
"515","great_black_backed_gull_normalized_AEA",10
"516","great_black_backed_gull_normalized_AEA",11
"517","great_shearwater_normalized_AEA",1
"518","great_shearwater_normalized_AEA",2
"519","great_shearwater_normalized_AEA",3
"520","great_shearwater_normalized_AEA",4
"521","great_shearwater_normalized_AEA",6
"522","great_shearwater_normalized_AEA",7
"523","great_shearwater_normalized_AEA",8
"524","great_shearwater_normalized_AEA",9
"525","great_shearwater_normalized_AEA",10
"526","great_shearwater_normalized_AEA",11
"527","great_skua_normalized_AEA",1
"528","great_skua_normalized_AEA",2
"529","great_skua_normalized_AEA",3
"530","great_skua_normalized_AEA",4
"531","Gulf_stream_flounder",1
"532","Gulf_stream_flounder",2
"533","Gulf_stream_flounder",3
"534","Gulf_stream_flounder",4
"535","Gulf_stream_flounder",8
"536","Gulf_stream_flounder",10
"537","Gulf_stream_flounder",11
"538","Haddock",1
"539","Haddock",2
"540","Haddock",3
"541","Haddock",4
"542","Haddock",6
"543","Haddock",7
"544","Haddock",9
"545","Harbor porpoise",1
"546","Harbor porpoise",2
"547","Harbor porpoise",3
"548","Harbor porpoise",4
"549","Harbor porpoise",5
"550","Harbor porpoise",6
"551","Harbor porpoise",7
"552","Harbor porpoise",8
"553","Harbor porpoise",9
"554","Harbor porpoise",10
"555","Harbor porpoise",11
"556","herring_gull_normalized_AEA",1
"557","herring_gull_normalized_AEA",2
"558","herring_gull_normalized_AEA",3
"559","herring_gull_normalized_AEA",4
"560","herring_gull_normalized_AEA",6
"561","herring_gull_normalized_AEA",7
"562","herring_gull_normalized_AEA",8
"563","herring_gull_normalized_AEA",9
"564","herring_gull_normalized_AEA",10
"565","herring_gull_normalized_AEA",11
"566","horned_grebe_normalized_AEA",1
"567","horned_grebe_normalized_AEA",2
"568","horned_grebe_normalized_AEA",3
"569","horned_grebe_normalized_AEA",4
"570","horned_grebe_normalized_AEA",6
"571","horned_grebe_normalized_AEA",7
"572","horned_grebe_normalized_AEA",8
"573","horned_grebe_normalized_AEA",9
"574","horned_grebe_normalized_AEA",10
"575","horned_grebe_normalized_AEA",11
"576","Horseshoe_crab",3
"577","Horseshoe_crab",4
"578","Horseshoe_crab",7
"579","Horseshoe_crab",10
"580","Humpback whale",1
"581","Humpback whale",2
"582","Humpback whale",3
"583","Humpback whale",4
"584","Humpback whale",5
"585","Humpback whale",6
"586","Humpback whale",7
"587","Humpback whale",8
"588","Humpback whale",9
"589","Humpback whale",10
"590","Humpback whale",11
"591","Jonah_crab",1
"592","Jonah_crab",2
"593","Jonah_crab",3
"594","Jonah_crab",4
"595","Jonah_crab",6
"596","Jonah_crab",7
"597","Jonah_crab",8
"598","Jonah_crab",9
"599","Jonah_crab",10
"600","Jonah_crab",11
"601","laughing_gull_normalized_AEA",2
"602","laughing_gull_normalized_AEA",3
"603","laughing_gull_normalized_AEA",4
"604","laughing_gull_normalized_AEA",6
"605","laughing_gull_normalized_AEA",7
"606","laughing_gull_normalized_AEA",8
"607","laughing_gull_normalized_AEA",9
"608","laughing_gull_normalized_AEA",10
"609","laughing_gull_normalized_AEA",11
"610","leachs_storm_petrel_normalized_AEA",1
"611","leachs_storm_petrel_normalized_AEA",2
"612","leachs_storm_petrel_normalized_AEA",3
"613","leachs_storm_petrel_normalized_AEA",4
"614","leachs_storm_petrel_normalized_AEA",6
"615","leachs_storm_petrel_normalized_AEA",7
"616","least_tern_normalized_AEA",2
"617","least_tern_normalized_AEA",3
"618","least_tern_normalized_AEA",4
"619","least_tern_normalized_AEA",6
"620","least_tern_normalized_AEA",7
"621","least_tern_normalized_AEA",8
"622","least_tern_normalized_AEA",9
"623","least_tern_normalized_AEA",10
"624","least_tern_normalized_AEA",11
"625","Little_skate",1
"626","Little_skate",2
"627","Little_skate",3
"628","Little_skate",4
"629","Little_skate",6
"630","Little_skate",7
"631","Little_skate",8
"632","Little_skate",9
"633","Little_skate",10
"634","Little_skate",11
"635","Long finned pilot whale",1
"636","Long finned pilot whale",2
"637","Long finned pilot whale",3
"638","Long finned pilot whale",4
"639","long_tailed_duck_normalized_AEA",1
"640","long_tailed_duck_normalized_AEA",2
"641","long_tailed_duck_normalized_AEA",3
"642","long_tailed_duck_normalized_AEA",4
"643","long_tailed_duck_normalized_AEA",6
"644","long_tailed_duck_normalized_AEA",7
"645","long_tailed_duck_normalized_AEA",8
"646","long_tailed_duck_normalized_AEA",9
"647","long_tailed_duck_normalized_AEA",10
"648","long_tailed_duck_normalized_AEA",11
"649","Longfin_squid",1
"650","Longfin_squid",2
"651","Longfin_squid",3
"652","Longfin_squid",4
"653","Longfin_squid",6
"654","Longfin_squid",7
"655","Longfin_squid",8
"656","Longfin_squid",9
"657","Longfin_squid",10
"658","Longfin_squid",11
