"","year","stock","indicator","value"
"186",2018,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","f_fmsy",1.80799996852875
"187",2004,"Sea scallop - Northwestern Atlantic Coast","b_bmsy",1.35199999809265
"188",2004,"Yellowtail flounder - Georges Bank","b_bmsy",0.662000000476837
"189",2005,"Acadian redfish - Gulf of Maine / Georges Bank","b_bmsy",0.740000009536743
"190",2005,"American plaice - Gulf of Maine / Georges Bank","b_bmsy",0.5
"191",2005,"Atlantic cod - Georges Bank","b_bmsy",0.104000002145767
"192",2005,"Atlantic cod - Gulf of Maine","b_bmsy",0.226999998092651
"193",2005,"Atlantic halibut - Northwestern Atlantic Coast","b_bmsy",0.0500000007450581
"194",2005,"Haddock - Georges Bank","b_bmsy",0.467000007629395
"195",2005,"Haddock - Gulf of Maine","b_bmsy",0.270000010728836
"196",2005,"Ocean pout - Northwestern Atlantic Coast","b_bmsy",0.363000005483627
"197",2005,"Pollock - Gulf of Maine / Georges Bank","b_bmsy",0.662999987602234
"198",2005,"Silver hake - Gulf of Maine / Northern Georges Bank","b_bmsy",1.01400005817413
"199",2005,"Silver hake - Southern Georges Bank / Mid-Atlantic","b_bmsy",0.769999980926514
"200",2005,"White hake - Gulf of Maine / Georges Bank","b_bmsy",0.389999985694885
"201",2005,"Windowpane - Gulf of Maine / Georges Bank","b_bmsy",0.829999983310699
"202",2005,"Windowpane - Southern New England / Mid-Atlantic","b_bmsy",0.207000002264977
"203",2005,"Winter flounder - Gulf of Maine","b_bmsy",0.839999973773956
"204",2005,"Winter flounder - Southern New England / Mid-Atlantic","b_bmsy",0.129999995231628
"205",2005,"Witch flounder - Northwestern Atlantic Coast","b_bmsy",0.839999973773956
"206",2005,"Yellowtail flounder - Cape Cod / Gulf of Maine","b_bmsy",0.0879999995231628
"207",2005,"Yellowtail flounder - Georges Bank","b_bmsy",0.266999989748001
"208",2005,"Yellowtail flounder - Southern New England / Mid-Atlantic","b_bmsy",0.00999999977648258
"209",2006,"Atlantic herring - Northwestern Atlantic Coast","b_bmsy",1.64999997615814
"210",2006,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.592999994754791
"211",2006,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.125
"212",2006,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.702000021934509
